u,w,up,wp,ut,wt,error
0.70970905,0.0052614086,0.78601557,0.15191656,0.77804,0.152992,0.00905101
0.70970905,0.0052614086,0.77811664,0.15249261,0.770155,0.153637,0.009106025
0.70970905,0.0052614086,0.7700469,0.15303484,0.761834,0.15424,0.009418026
0.70970905,0.0052614086,0.76180464,0.15354484,0.753003,0.1548,0.010056794
0.70970905,0.0052614086,0.7533894,0.1540243,0.743571,0.155315,0.011109129
0.70970905,0.0052614086,0.7448009,0.15447515,0.733423,0.155782,0.012684777
0.70970905,0.0052614086,0.73222023,0.15473652,0.722415,0.156201,0.011269748
0.70970905,0.0052614086,0.71850157,0.15493147,0.710365,0.156567,0.009772107
0.70970905,0.0052614086,0.70024973,0.15528557,0.697032,0.156878,0.0048101842
0.70970905,0.0052614086,0.68146664,0.15562747,0.682102,0.157128,0.0021359175
0.70970905,0.0052614086,0.6625,0.15594393,0.665159,0.157311,0.0040260404
0.70970905,0.0052614086,0.6433531,0.15623657,0.645634,0.15742,0.0034643114
0.70970905,0.0052614086,0.62403053,0.15650687,0.622751,0.157443,0.0022156686
0.70970905,0.0052614086,0.5912185,0.15639886,0.595434,0.157368,0.00518468
0.70970905,0.0052614086,0.55594903,0.15621006,0.562181,0.157176,0.0071979016
0.70970905,0.0052614086,0.51650536,0.15587802,0.520921,0.15684,0.0053776056
0.70970905,0.0052614086,0.4558877,0.15487096,0.468907,0.156329,0.014477342
0.70970905,0.0052614086,0.38236207,0.1537123,0.402896,0.155594,0.022415623
0.70970905,0.0052614086,0.29003307,0.15252459,0.32026,0.15458,0.032282323
0.70970905,0.0052614086,0.19836386,0.15139602,0.222094,0.153225,0.025559127
0.70970905,0.0052614086,0.10734296,0.15027153,0.117925,0.151485,0.011795506
0.70970905,0.0052614086,0.017023139,0.14915419,0.025732,0.149375,0.008929681
0.70970905,0.0052614086,-0.0459369,0.14654873,-0.039555,0.146977,0.006810177
0.70970905,0.0052614086,-0.09261969,0.14135519,-0.076877,0.144411,0.0187985
0.70970905,0.0052614086,-0.104871646,0.13920307,-0.094615,0.141775,0.012828574
0.70970905,0.0052614086,-0.10717644,0.13791388,-0.101397,0.139132,0.006997548
0.70970905,0.0052614086,-0.10937415,0.13660362,-0.102713,0.136516,0.006748773
0.70970905,0.0052614086,-0.11003137,0.13497186,-0.101438,0.133941,0.009624228
0.70970905,0.0052614086,-0.10677788,0.13251998,-0.098961,0.131415,0.008921854
0.70970905,0.0052614086,-0.10348724,0.13006973,-0.095931,0.128939,0.008686967
0.70970905,0.0052614086,-0.10016225,0.1276242,-0.09265,0.126516,0.008620456
0.70970905,0.0052614086,-0.0968052,0.12518632,-0.089258,0.124144,0.008589521
0.70970905,0.0052614086,-0.09342061,0.122761995,-0.085821,0.121824,0.008537605
0.70970905,0.0052614086,-0.090015575,0.12036142,-0.08237,0.119554,0.008452997
0.70970905,0.0052614086,-0.08659379,0.1179873,-0.078921,0.117334,0.008326091
