Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,total_neurons,shape
Bp,simulation479,0.007666017860174179,0.9437706470489502,"[['Sigmoid', 64], ['LeakyReLU', 128], ['ELU', 64]]",False,traininig_data/treino_s/,256,diamond
Bp,simulation573,0.011930778622627258,0.9289290308952332,"[['SiLU', 64], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,192,funnel
Bp,simulation611,0.017713282257318497,0.9689708352088928,"[['Tanh', 16], ['Sigmoid', 16]]",False,traininig_data/treino_s/,32,rectangle
Bp,simulation722,0.011433949694037437,0.9834040403366089,"[['ReLU', 128], ['SiLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation113,0.0045752981677651405,0.9463745355606079,"[['ELU', 64], ['SiLU', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation609,0.010453524067997932,0.9874128103256226,"[['ReLU', 64], ['Tanh', 64]]",False,traininig_data/treino_s/,128,rectangle
Bp,simulation385,0.004618356470018625,0.9607298374176025,"[['ELU', 64], ['Tanh', 32], ['SiLU', 64]]",False,traininig_data/treino_s/,160,bowtie
Bp,simulation792,0.02807486243546009,0.9620168805122375,"[['Sigmoid', 128], ['ReLU', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation404,0.006429850123822689,0.8887696266174316,"[['ReLU', 32], ['Sigmoid', 128], ['ELU', 16]]",False,traininig_data/treino_s/,176,diamond
Bp,simulation502,0.032114360481500626,0.9661871790885925,"[['Tanh', 16], ['ELU', 128]]",False,traininig_data/treino_s/,144,funnel
Bp,simulation136,0.0042815799824893475,1.0366477966308594,"[['Sigmoid', 64], ['Tanh', 64], ['Sigmoid', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation144,0.005183069501072168,0.9533151984214783,"[['ELU', 32], ['Tanh', 32], ['Tanh', 32]]",False,traininig_data/treino_s/,96,rectangle
Bp,simulation783,0.014417209662497044,0.9386388063430786,"[['Tanh', 64], ['LeakyReLU', 32]]",False,traininig_data/treino_s/,96,bottleneck
Bp,simulation625,0.012890714220702648,0.9281186461448669,"[['SiLU', 64], ['ReLU', 64]]",False,traininig_data/treino_s/,128,rectangle
Bp,simulation779,0.016095612198114395,0.9710361361503601,"[['Sigmoid', 128], ['Tanh', 16]]",False,traininig_data/treino_s/,144,bottleneck
Bp,simulation9,0.0056779044680297375,0.956956684589386,"[['SiLU', 64], ['Tanh', 64], ['Tanh', 128]]",False,traininig_data/treino_s/,256,funnel
Bp,simulation132,0.004685614723712206,0.9965890049934387,"[['ELU', 64], ['Tanh', 64], ['Tanh', 64]]",False,traininig_data/treino_s/,192,rectangle
Bp,simulation386,0.00878173392266035,0.9048207998275757,"[['Sigmoid', 32], ['Tanh', 16], ['LeakyReLU', 128]]",False,traininig_data/treino_s/,176,bowtie
Bp,simulation417,0.0048247394151985645,1.0738120079040527,"[['SiLU', 16], ['Tanh', 64], ['Sigmoid', 16]]",False,traininig_data/treino_s/,96,diamond
Bp,simulation158,0.010800706222653389,0.9344899654388428,"[['Sigmoid', 32], ['SiLU', 32], ['ReLU', 32]]",False,traininig_data/treino_s/,96,rectangle
