Problem,Folder,Final Error 1,Final Error 2,Hidden Layers,Pinn Info,Batch Size,Inf speed,total_neurons,shape
A,simulation611,0.0008272198028862476,0.014673858880996704,"[['Tanh', 16], ['Sigmoid', 16]]",False,N/A,-1.0,32,rectangle
A,simulation722,0.0005321530043147504,0.014146983623504639,"[['ReLU', 128], ['SiLU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation113,0.0018634367734193802,0.02661280333995819,"[['ELU', 64], ['SiLU', 64], ['Sigmoid', 64]]",False,N/A,-1.0,192,rectangle
A,simulation609,0.008556556887924671,0.024401668459177017,"[['ReLU', 64], ['Tanh', 64]]",False,N/A,-1.0,128,rectangle
A,simulation385,0.0007336536655202508,0.026774823665618896,"[['ELU', 64], ['Tanh', 32], ['SiLU', 64]]",False,N/A,-1.0,160,bowtie
A,simulation792,0.0020982485730201006,0.04224015772342682,"[['Sigmoid', 128], ['ReLU', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation404,0.0014036927605047822,0.008874401450157166,"[['ReLU', 32], ['Sigmoid', 128], ['ELU', 16]]",False,N/A,-1.0,176,diamond
A,simulation502,0.0008118756231851876,0.011726781725883484,"[['Tanh', 16], ['ELU', 128]]",False,N/A,-1.0,144,funnel
A,simulation136,0.0009953207336366177,0.02537873387336731,"[['Sigmoid', 64], ['Tanh', 64], ['Sigmoid', 64]]",False,N/A,-1.0,192,rectangle
A,simulation144,0.0022001233883202076,0.022634848952293396,"[['ELU', 32], ['Tanh', 32], ['Tanh', 32]]",False,N/A,-1.0,96,rectangle
A,simulation783,0.0009360125986859202,0.019825322553515434,"[['Tanh', 64], ['LeakyReLU', 32]]",False,N/A,-1.0,96,bottleneck
A,simulation625,0.0026250311639159918,0.03421825170516968,"[['SiLU', 64], ['ReLU', 64]]",False,N/A,-1.0,128,rectangle
A,simulation779,0.0031472817063331604,0.019667118787765503,"[['Sigmoid', 128], ['Tanh', 16]]",False,N/A,-1.0,144,bottleneck
A,simulation9,0.0008850543526932597,0.005983322858810425,"[['SiLU', 64], ['Tanh', 64], ['Tanh', 128]]",False,N/A,-1.0,256,funnel
A,simulation132,0.003134115831926465,0.03182035684585571,"[['ELU', 64], ['Tanh', 64], ['Tanh', 64]]",False,N/A,-1.0,192,rectangle
A,simulation386,0.0006102737388573587,0.0174812451004982,"[['Sigmoid', 32], ['Tanh', 16], ['LeakyReLU', 128]]",False,N/A,-1.0,176,bowtie
A,simulation417,0.0010007268283516169,0.00520855188369751,"[['SiLU', 16], ['Tanh', 64], ['Sigmoid', 16]]",False,N/A,-1.0,96,diamond
A,simulation158,0.0011549891205504537,0.027672097086906433,"[['Sigmoid', 32], ['SiLU', 32], ['ReLU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation135,0.0009475502301938832,0.027748942375183105,"[['Sigmoid', 32], ['ELU', 32], ['ELU', 32]]",False,N/A,-1.0,96,rectangle
A,simulation518,0.0015069716610014439,0.03771616518497467,"[['LeakyReLU', 16], ['Tanh', 32]]",False,N/A,-1.0,48,funnel
